PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
46636,46,Female,USA,Simulation,8.404471951419342,0,Medium,13,80,38,7,Medium
31136,21,Female,Asia,Strategy,1.2012563793527606,1,Hard,13,39,85,21,Medium
17337,30,Female,Other,Action,15.659611154276956,0,Hard,15,67,96,27,Medium
14143,41,Male,Other,Strategy,14.40503370875336,1,Medium,18,160,63,36,High
47321,23,Female,Europe,RPG,5.412503628096254,0,Medium,5,109,74,28,Medium
12755,37,Female,Europe,Simulation,5.065478337161601,0,Medium,7,156,4,46,Medium
44266,31,Female,Europe,Action,5.652610140789975,0,Easy,14,161,34,48,High
44047,30,Male,USA,Action,2.376859813215892,1,Easy,17,98,69,39,Medium
25139,40,Female,Other,RPG,2.980286620499009,0,Hard,2,59,5,17,Low
29468,15,Female,USA,RPG,7.057631665734798,1,Hard,17,122,92,41,High
27832,35,Female,USA,Strategy,5.584065959416985,0,Medium,0,32,81,29,Low
38827,17,Male,Europe,Action,19.91839998792052,0,Hard,17,113,21,45,High
14860,41,Female,Europe,Simulation,8.377428176870769,0,Hard,1,172,98,21,Low
29040,36,Female,Asia,Action,5.177002528868833,0,Easy,7,169,38,7,Medium
15431,48,Male,Europe,Sports,12.463694300026386,0,Hard,16,139,94,19,High
38561,22,Female,USA,Simulation,8.22919846142521,1,Easy,16,51,87,39,Medium
19503,37,Male,USA,Simulation,18.44465893980299,1,Easy,5,111,91,39,Medium
31683,36,Female,USA,RPG,11.934564234596175,1,Easy,0,161,66,48,Low
32352,23,Male,Europe,RPG,18.34599621265044,1,Medium,19,120,37,37,High
30950,30,Female,USA,Action,14.377845474933352,0,Medium,11,149,16,8,High
13274,49,Male,Other,Simulation,6.313919136380818,0,Medium,11,97,40,3,Medium
28398,22,Female,Asia,Sports,13.680474703321597,0,Easy,19,159,71,9,High
36574,24,Female,USA,Sports,12.748968370151546,1,Easy,19,50,88,49,Medium
14488,48,Male,Other,Sports,16.990757561258192,0,Medium,9,93,85,24,Medium
44463,22,Male,USA,Action,14.128261620584237,0,Medium,19,137,51,17,High
13572,27,Male,Europe,Strategy,6.324684493776901,0,Medium,5,173,38,45,Medium
28591,20,Male,USA,Sports,4.794712798631884,0,Easy,3,52,35,37,Low
17927,18,Female,USA,Simulation,13.596965198525355,0,Easy,5,134,86,36,High
15628,46,Female,Europe,Sports,8.50821038238599,0,Medium,8,70,31,29,Medium
11868,40,Female,USA,Strategy,17.935469156688264,0,Easy,2,172,10,24,Medium
13032,22,Male,Europe,Simulation,2.906113686819774,0,Medium,12,119,88,2,High
19252,35,Female,Europe,RPG,10.793367333961346,1,Easy,7,117,15,11,Medium
27906,41,Female,Europe,Simulation,4.905291517949284,0,Easy,15,101,41,48,High
13409,40,Male,Asia,Action,23.70164392791772,1,Easy,4,50,87,38,High
13318,37,Male,Asia,Sports,4.898798081812896,1,Hard,8,95,60,35,Medium
21410,45,Male,Asia,RPG,23.88741403666168,0,Easy,16,166,66,20,High
15784,41,Male,Europe,Strategy,15.369324636948082,0,Hard,12,73,32,1,Medium
